(city(Tlaxiaco)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(Tlaxiaco)), {C=0.004377006127808579}
(city(Sooke)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Sooke)), {C=0.004279739324968388}
(city(Issaquah)) --> (gender(f)), {C=0.004960606944849723}
(gender(f)) --> (city(Issaquah)), {C=0.004960606944849723}
(city(Burnaby)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Burnaby)), {C=0.004182472522128198}
(city(Novato)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(Novato)), {C=0.0046688065363291505}
(city(Lynnwood)) --> (gender(f)), {C=0.006516875790292773}
(gender(f)) --> (city(Lynnwood)), {C=0.006516875790292773}
(city(San Andres)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(San Andres)), {C=0.004377006127808579}
(city(Richmond)) --> (gender(f)), {C=0.00904581266413773}
(gender(f)) --> (city(Richmond)), {C=0.00904581266413773}
(city(Lake Oswego)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Lake Oswego)), {C=0.004766073339169342}
(city(La Mesa)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(La Mesa)), {C=0.004766073339169342}
(city(Chula Vista)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Chula Vista)), {C=0.004766073339169342}
(city(Mexico City)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Mexico City)), {C=0.004182472522128198}
(city(Lincoln Acres)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(Lincoln Acres)), {C=0.0046688065363291505}
(city(Oak Bay)) --> (gender(f)), {C=0.005446940959050676}
(gender(f)) --> (city(Oak Bay)), {C=0.005446940959050676}
(city(Camacho)) --> (gender(f)), {C=0.005252407353370295}
(gender(f)) --> (city(Camacho)), {C=0.005252407353370295}
(city(Arcadia)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Arcadia)), {C=0.0044742729306487695}
(city(Altadena)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Altadena)), {C=0.004182472522128198}
(city(Oakland)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Oakland)), {C=0.004279739324968388}
(city(Spring Valley)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Spring Valley)), {C=0.004279739324968388}
(city(Renton)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(Renton)), {C=0.0046688065363291505}
(city(Bellingham)) --> (gender(f)), {C=0.0056414745647310575}
(gender(f)) --> (city(Bellingham)), {C=0.0056414745647310575}
(city(La Jolla)) --> (gender(f)), {C=0.003987938916447816}
(gender(f)) --> (city(La Jolla)), {C=0.003987938916447816}
(city(Santa Fe)) --> (gender(f)), {C=0.003112537690886101}
(gender(f)) --> (city(Santa Fe)), {C=0.003112537690886101}
(city(Haney)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Haney)), {C=0.004279739324968388}
(city(Burbank)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Burbank)), {C=0.004766073339169342}
(city(Anacortes)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Anacortes)), {C=0.004766073339169342}
(city(Everett)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(Everett)), {C=0.004377006127808579}
(city(Milwaukie)) --> (gender(f)), {C=0.0048633401420095325}
(gender(f)) --> (city(Milwaukie)), {C=0.0048633401420095325}
(city(Concord)) --> (gender(f)), {C=0.005349674156210485}
(gender(f)) --> (city(Concord)), {C=0.005349674156210485}
(city(Ladner)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Ladner)), {C=0.0044742729306487695}
(city(Santa Cruz)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Santa Cruz)), {C=0.0044742729306487695}
(city(Merida)) --> (gender(f)), {C=0.005252407353370295}
